MSW05_Order	MSW05_Family	MSW05_Genus	MSW05_Species	MSW05_Binomial	1-1_ActivityCycle	5-1_AdultBodyMass_g	8-1_AdultForearmLen_mm	13-1_AdultHeadBodyLen_mm	2-1_AgeatEyeOpening_d	3-1_AgeatFirstBirth_d	18-1_BasalMetRate_mLO2hr	5-2_BasalMetRateMass_g	6-1_DietBreadth	7-1_DispersalAge_d	9-1_GestationLen_d	12-1_HabitatBreadth	22-1_HomeRange_km2	22-2_HomeRange_Indiv_km2	14-1_InterbirthInterval_d	15-1_LitterSize	16-1_LittersPerYear	17-1_MaxLongevity_m	5-3_NeonateBodyMass_g	13-2_NeonateHeadBodyLen_mm	21-1_PopulationDensity_n/km2	10-1_PopulationGrpSize	23-1_SexualMaturityAge_d	10-2_SocialGrpSize	24-1_TeatNumber	12-2_Terrestriality	6-2_TrophicLevel	25-1_WeaningAge_d	5-4_WeaningBodyMass_g	13-3_WeaningHeadBodyLen_mm	References	5-5_AdultBodyMass_g_EXT	16-2_LittersPerYear_EXT	5-6_NeonateBodyMass_g_EXT	5-7_WeaningBodyMass_g_EXT	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MidRangeLat_dd	26-5_GR_MaxLong_dd	26-6_GR_MinLong_dd	26-7_GR_MidRangeLong_dd	27-1_HuPopDen_Min_n/km2	27-2_HuPopDen_Mean_n/km2	27-3_HuPopDen_5p_n/km2	27-4_HuPopDen_Change	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	30-1_AET_Mean_mm	30-2_PET_Mean_mm
Primates	Pitheciidae	Callicebus	donacophilus	Callicebus donacophilus	3	897.67	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1547;1605;1633;2151;2655	-999	-999	-999	-999	288759.02	-10.45	-21.29	-15.87	-57.52	-67.21	-62.37	0	3.63	0	0.17	108.93	244.32	1238.19	1469.11
Primates	Pitheciidae	Callicebus	dubius	Callicebus dubius	3	992.4	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1605;1633;2151;2655	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Primates	Pitheciidae	Callicebus	hoffmannsi	Callicebus hoffmannsi	3	1067.61	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1547;1605;1633;2151;2655	-999	-999	-999	-999	98076.46	-1.95	-6	-3.97	-54.87	-59.21	-57.04	0	2.6	0	0.1	158.41	258.18	1417.63	1610.4
Primates	Pitheciidae	Callicebus	lucifer	Callicebus lucifer	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Primates	Pitheciidae	Callicebus	lugens	Callicebus lugens	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Primates	Pitheciidae	Callicebus	medemi	Callicebus medemi	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	36587.57	0.95	-1.66	-0.35	-74.42	-76.71	-75.56	1	5.6	1	0.15	152.17	292.08	1435.56	1446.17
Primates	Pitheciidae	Callicebus	melanochir	Callicebus melanochir	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	60497.71	-12.83	-18.16	-15.5	-38.72	-40.46	-39.59	7	46.93	11	0.08	137.48	232.78	1460.59	1650.42
Primates	Pitheciidae	Callicebus	modestus	Callicebus modestus	3	992.4	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1605;1633;2151;2655	-999	-999	-999	-999	17288.42	-14.25	-15.67	-14.96	-65.93	-67.39	-66.66	1	2.76	1	0.47	119.01	225.42	1432.14	1548.82
Didelphimorphia	Didelphidae	Caluromys	derbianus	Caluromys derbianus	1	326.72	-999	231	-999	-999	215.11	344	3	-999	-999	1	-999	-999	-999	3.14	-999	60	-999	-999	11.86	-999	251.71	1	-999	2	2	-999	-999	-999	256;498;730;889;890;905;955;1297;1412;1822;2151;2655	-999	-999	-999	-999	678553.48	20.73	-2.92	8.9	-76.63	-98.33	-87.48	2	53.45	3	0.14	189.71	234.61	1341.7	1596.59
Didelphimorphia	Didelphidae	Caluromys	lanatus	Caluromys lanatus	1	350.33	-999	273.3	-999	-999	-999	-999	4	-999	-999	2	-999	-999	-999	-999	-999	60	-999	-999	-999	-999	-999	1	-999	2	2	-999	-999	-999	543;889;890;905;2151;2655	-999	-999	-999	-999	3683731.12	9.07	-28.1	-9.51	-53.2	-77.39	-65.29	0	5.36	0	0.13	175.31	245.59	1392.87	1501.45
Didelphimorphia	Didelphidae	Caluromys	philander	Caluromys philander	1	246.47	-999	224.27	75	334.58	-999	-999	4	-999	23.99	2	0.009960363	0.02	166.5	4.18	2	76	0.2	10	62.32	-999	314.52	1	7	2	2	119.65	23	-999	133;256;543;730;889;890;905;955;1297;1533;1534;1573;1760;1773;2151;2159;2225;2431;2655	-999	-999	-999	-999	3212264.13	12.2	-24.58	-6.19	-40.35	-72.87	-56.61	0	39.68	0	0.12	144.03	239.14	1356.51	1583.7
Didelphimorphia	Didelphidae	Caluromysiops	irrupta	Caluromysiops irrupta	1	257.48	-999	234.52	-999	-999	-999	-999	3	-999	-999	1	-999	-999	-999	2	-999	94	-999	-999	8.85	-999	-999	1	-999	2	2	-999	-999	-999	543;730;889;905;1297;2151;2655	-999	-999	-999	-999	188864.44	-9.34	-12.69	-11.01	-61.99	-73.48	-67.73	0	3.51	0	0.27	189.96	246.03	1362.63	1563.51
Cingulata	Dasypodidae	Calyptophractus	retusus	Calyptophractus retusus	-999	129.99	-999	157.5	-999	-999	-999	-999	4	-999	-999	2	-999	-999	-999	-999	-999	144	-999	-999	-999	-999	-999	-999	-999	1	2	-999	-999	-999	543;890;899;2151;2655	-999	-999	-999	-999	1081453.8	-12.69	-29.92	-21.3	-56.47	-65.76	-61.11	0	4.33	0	0.12	87.68	228.45	1016.9	1327.63
Artiodactyla	Camelidae	Camelus	bactrianus	Camelus bactrianus	-999	554515.91	-999	-999	-999	1460	-999	-999	2	-999	397.99	1	-999	-999	730	1.39	1	480	34346.64	-999	0.06	-999	1330.6	6.2	-999	1	1	368.13	-999	-999	511;543;600;719;899;1297;1848;2401;2655;2987	-999	-999	-999	-999	188693	44.71	37.98	41.34	97.58	90.75	94.17	0	1.83	0	0.01	9.94	53.72	66.85	612.43
Artiodactyla	Bovidae	Bos	sauveli	Bos sauveli	2	791321.76	-999	2175	-999	-999	-999	-999	2	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	755.15	20	-999	1	1	-999	-999	-999	511;899;1525;1848;2655	-999	-999	-999	-999	115557.18	15.48	12.04	13.76	107.85	102.98	105.42	2	36.95	3	0.12	170.36	251.45	1144.18	1581.73
Artiodactyla	Bovidae	Bos	taurus	Bos taurus	-999	618642.42	-999	-999	-999	-999	-999	-999	-999	-999	280.48	-999	10.04	-999	-999	-999	1	240	-999	-999	-999	-999	755.15	-999	-999	-999	-999	-999	-999	-999	543;1052;1577;1594;1758;1848;2655	-999	-999	-999	-999	44447.62	15.08	11.85	13.46	108.99	107.08	108.04	2	42.48	3	0.15	174.94	228.73	1193.98	1450.23
Artiodactyla	Bovidae	Boselaphus	tragocamelus	Boselaphus tragocamelus	-999	182253.04	-999	2000	-999	912.5	-999	-999	5	-999	248.49	-999	-999	-999	400.5	1.39	-999	260.4	5875	-999	2.39	-999	-999	-999	-999	-999	1	-999	-999	-999	543;730;1297;1525;1848;2655;2986	-999	1.05	-999	-999	2192564.81	33	11.71	22.35	87.08	68.93	78	2	313.3	76.5	0.09	86.66	247.4	750.64	1450.38
Rodentia	Muridae	Brachiones	przewalskii	Brachiones przewalskii	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	940177.9	42.86	35.46	39.16	102.85	77.15	90	0	5.36	0	0.05	17.27	68.34	79.67	681.81
Carnivora	Canidae	Canis	mesomelas	Canis mesomelas	2	8247.3	-999	707.27	-999	-999	-999	-999	6	270	62.5	1	11.93	12.82	273.75	3.89	-999	168	177.2	-999	0.74	-999	241.4	-999	8	1	2	34.1	-999	-999	542;543;730;1113;1297;1573;2655	-999	1.27	-999	-999	6248779.95	16.47	-34.83	-9.18	51.41	11.71	31.56	0	30.81	0	0.11	49.27	213.33	661.36	1468.1
Carnivora	Canidae	Canis	simensis	Canis simensis	3	14361.86	-999	938.19	-999	-999	-999	-999	1	180	63.61	1	4.2	5.02	365	-999	-999	-999	-999	-999	1.2	-999	754.74	-999	8	1	3	69.6	-999	-999	542;730;1113;1573;2655	-999	1.1	-999	-999	11402.81	13.31	6.55	9.93	39.96	38.02	38.99	30	99.87	30	0.15	83.87	99.03	931.35	1471.36
Rodentia	Spalacidae	Cannomys	badius	Cannomys badius	-999	472.07	-999	-999	-999	-999	172	344	-999	-999	41.49	-999	-999	-999	-999	2	-999	48	-999	-999	-999	-999	-999	-999	-999	-999	-999	50.1	-999	-999	543;1297;1822;2655	-999	-999	-999	-999	818286	27.85	11.82	19.83	105.88	84.65	95.26	4	86.5	9	0.07	159.67	213.64	1063.45	1473.54
Rodentia	Cricetidae	Cansumys	canus	Cansumys canus	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	267130.76	35.6	31.09	33.34	115.62	102.25	108.94	4	218.11	8	0.06	58.53	103.16	742.53	877.6
Cetacea	Neobalaenidae	Caperea	marginata	Caperea marginata	-999	31999999.98	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	0.98	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1297;2655	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Artiodactyla	Bovidae	Capra	caucasica	Capra caucasica	-999	58149.52	-999	-999	-999	-999	-999	-999	-999	-999	155	-999	-999	-999	-999	1.09	-999	264	-999	-999	-999	-999	1015	-999	3	-999	-999	-999	-999	-999	543;1297;1525;1848;2555;2655	-999	-999	-999	-999	32781.87	43.82	40.83	42.33	48.52	40	44.26	9	40.22	10.5	0.02	57.31	-9.89	612.18	710.43
Artiodactyla	Bovidae	Capra	falconeri	Capra falconeri	3	54303.37	-999	1590	-999	730	-999	-999	2	-999	167.98	1	-999	-999	-999	1.73	-999	168	-999	-999	-999	11	1015	-999	-999	1	1	167.29	-999	-999	511;543;899;1297;1525;1848;2555;2655	-999	-999	-999	-999	155075.85	38.9	28.84	33.87	75.48	65.04	70.26	4	88.36	12	0.16	22.18	108.54	340.32	1154.28
Artiodactyla	Bovidae	Capra	hircus	Capra hircus	-999	47386.47	-999	-999	-999	669.16	-999	-999	2	-999	156	-999	98.3	47.24	365	1.45	-999	249.6	2136.11	375.56	7.58	-999	498.97	-999	3	-999	1	158.04	-999	-999	453;543;730;1052;1297;1525;1573;1594;1598;1848;2555;2655;2986	-999	1.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Artiodactyla	Bovidae	Capra	ibex	Capra ibex	-999	69546.83	-999	-999	-999	912.5	-999	-999	2	-999	167.5	1	-999	-999	547.5	1.11	-999	267.6	2779.07	-999	-999	-999	838.54	-999	3	1	1	111.75	15683.39	-999	511;543;1297;1525;1763;1848;2555;2655	-999	0.89	-999	-999	145098.13	47.9	43.76	45.83	15.5	4.76	10.13	12	135.27	26	0.03	87.78	42.76	586.2	627.49
Erinaceomorpha	Erinaceidae	Atelerix	algirus	Atelerix algirus	1	903.98	-999	214.76	-999	-999	-999	-999	3	-999	39.25	-999	-999	-999	-999	2.5	2	84	-999	-999	-999	-999	-999	-999	-999	-999	2	39.7	-999	-999	543;678;1456;2408;2655;2786	-999	-999	-999	-999	815329.89	37.34	30.13	33.74	21.77	-9.89	5.94	1	95.57	3	0.11	26.26	167.59	327.17	1147.59
Erinaceomorpha	Erinaceidae	Atelerix	frontalis	Atelerix frontalis	1	329.12	-999	181.82	10	-999	-999	-999	6	-999	37.13	1	-999	-999	-999	4.99	1.5	-999	10.55	52.6	-999	-999	411.43	1	6	1	2	34.8	-999	-999	678;1109;1297;1455;1456;2408;2629;2655;2786	-999	-999	-999	-999	1497998.13	-12.43	-33.62	-23.03	31.09	11.76	21.42	0	16.7	1	0.1	42.24	186.9	578.5	1322.65
Erinaceomorpha	Erinaceidae	Atelerix	sclateri	Atelerix sclateri	1	-999	-999	129.99	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	678;1456	66.17	-999	-999	-999	198274.28	11.98	6.32	9.15	51.41	45.44	48.42	1	5.95	2	0.04	12.2	245.23	155.21	1766.15
Primates	Atelidae	Ateles	belzebuth	Ateles belzebuth	3	6692.42	-999	459.3	-999	-999	-999	-999	2	-999	138.2	1	2.28	3.24	-999	1.02	-999	336	-999	-999	13.49	-999	-999	14.5	-999	2	1	-999	-999	-999	208;543;730;890;1297;1544;1547;1848;2151;2308;2344;2463;2655;2660;2912;2986	-999	-999	-999	-999	1030364.23	4.08	-4.98	-0.44	-60.12	-78.54	-69.33	0	2.79	0	0.11	227.01	257.68	1493.34	1512.96
Primates	Atelidae	Ateles	chamek	Ateles chamek	3	7053.92	-999	454.28	-999	-999	-999	-999	2	-999	-999	1	1.16	-999	-999	-999	-999	-999	-999	-999	3.39	-999	-999	-999	-999	2	1	-999	-999	-999	1544;1547;1848;2145;2151;2251;2655;2912	-999	-999	-999	-999	990902.31	-2.58	-11.43	-7.01	-62.25	-77.21	-69.73	0	1.62	0	0.1	194.51	254.97	1504.72	1569.06
Primates	Atelidae	Ateles	fusciceps	Ateles fusciceps	3	9067.94	-999	489.15	-999	1773.9	-999	-999	2	-999	224.7	1	-999	-999	851.66	1.01	-999	288	499.99	-999	-999	-999	1799.68	-999	-999	2	1	482.7	-999	-999	208;543;1297;1544;1547;1848;2151;2344;2489;2493;2655;2660;2986	-999	0.71	-999	-999	201579.73	11.11	1.77	6.44	-73.92	-79.12	-76.52	3	85.93	4	0.11	220.34	240.81	1483.74	1654.37
Primates	Atelidae	Ateles	geoffroyi	Ateles geoffroyi	3	7582.4	-999	433.07	-999	2080.5	-999	-999	2	-999	226.37	1	0.73	1.07	1048.15	1.01	-999	327.6	425.85	-999	19.06	-999	2104.57	42	-999	2	1	816.35	3478.06	-999	208;730;1297;1544;1547;1763;1767;1848;2145;2151;2344;2463;2488;2489;2493;2655;2660;2912;2986	-999	0.64	-999	-999	806609.19	24.09	0.67	12.38	-70.23	-98.85	-84.54	2	55.14	4	0.14	153.93	243.16	1344.08	1624.94
Primates	Atelidae	Ateles	hybridus	Ateles hybridus	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	144643.82	11.35	6.26	8.8	-66.36	-75.27	-70.82	1	54	1	0.13	114.72	255.57	1343.77	1685.22
Primates	Atelidae	Ateles	marginatus	Ateles marginatus	3	6229.28	-999	460.27	-999	-999	-999	-999	2	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	2	1	-999	-999	-999	1544;1848;2151;2655	-999	-999	-999	-999	831855.4	-0.54	-8.84	-4.69	-47.7	-64.33	-56.01	0	4.83	0	0.11	169.03	252.71	1421.4	1592.48
Primates	Atelidae	Ateles	paniscus	Ateles paniscus	3	8697.25	-999	575.96	-999	1825	-999	-999	6	-999	228.18	1	1.36	2.19	1072.18	1	-999	453.6	478.64	-999	8	-999	2104.57	20	-999	2	2	805.41	2753.17	-999	208;543;730;890;1201;1297;1544;1547;1763;1767;1768;1848;2151;2344;2463;2488;2489;2493;2655;2660;2912;2986;3086	-999	0.63	-999	-999	892635.1	7.28	-3.14	2.06	-50.44	-61.85	-56.14	0	3.25	0	0.08	157.69	255.77	1456.6	1696.86
Primates	Pitheciidae	Callicebus	moloch	Callicebus moloch	3	958.13	-999	358.65	-999	1095	-999	-999	3	-999	164	1	0.02	0.03	365	1.01	-999	303.6	74.4	125	18.43	-999	1262.74	2.95	-999	2	2	58.85	-999	-999	208;543;730;890;1297;1512;1547;1605;1768;1848;2151;2344;2464;2489;2493;2520;2655;2660;2986	-999	1.1	-999	-999	911442.78	-1.3	-14.1	-7.7	-48.19	-58.29	-53.24	0	2.4	0	0.13	174.03	246.08	1330.45	1530.29
Primates	Pitheciidae	Callicebus	nigrifrons	Callicebus nigrifrons	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	513267.9	-16.37	-24.44	-20.4	-41.86	-51.33	-46.6	3	136.21	5	0.05	128.2	203.7	1160.18	1370.31
Primates	Pitheciidae	Callicebus	oenanthe	Callicebus oenanthe	3	992.4	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1605;1633;2151;2655	-999	-999	-999	-999	5807.21	-5.16	-5.98	-5.57	-76.96	-77.67	-77.31	2	8.33	2	0.06	139.67	220.5	1287.01	1394.99
Primates	Pitheciidae	Callicebus	olallae	Callicebus olallae	3	992.4	-999	-999	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	1.02	-999	-999	-999	-999	-999	-999	-999	1	-999	2	-999	-999	-999	-999	1605;1633;2151;2655	-999	-999	-999	-999	17288.42	-14.25	-15.67	-14.96	-65.93	-67.39	-66.66	1	2.76	1	0.47	119.01	225.42	1432.14	1548.82
Primates	Pitheciidae	Callicebus	ornatus	Callicebus ornatus	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	23066.97	4.38	2.18	3.28	-73.68	-74.77	-74.23	1	104.04	1	0.12	130.8	209.3	1484.71	1507.5
Primates	Pitheciidae	Callicebus	pallescens	Callicebus pallescens	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	93328.33	-16.39	-21.29	-18.84	-57.52	-61.25	-59.39	0	0.63	0	0.1	86.34	258.42	1071.44	1315.57
Primates	Pitheciidae	Callicebus	personatus	Callicebus personatus	3	1390.8	-999	362.49	-999	-999	-999	-999	4	-999	-999	1	0.03	0.05	-999	1.01	-999	-999	-999	-999	13.03	-999	-999	2.35	-999	2	1	-999	-999	-999	890;899;1544;1547;1605;1848;2145;2151;2344;2464;2655;2660;2986	-999	-999	-999	-999	172664.46	-16.02	-22.48	-19.25	-39.58	-43.08	-41.33	7	47.74	11	0.06	107.39	212.34	1204.53	1458.54
Primates	Pitheciidae	Callicebus	purinus	Callicebus purinus	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Primates	Pitheciidae	Callicebus	regulus	Callicebus regulus	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Primates	Pitheciidae	Callicebus	stephennashi	Callicebus stephennashi	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
Primates	Pitheciidae	Callicebus	torquatus	Callicebus torquatus	3	1209.57	-999	294.99	-999	-999	-999	-999	4	-999	-999	1	0.11	0.14	-999	1.01	-999	-999	-999	-999	10.2	-999	1683.65	3.85	-999	2	2	121.66	-999	-999	208;730;890;1297;1544;1547;1605;1848;2151;2251;2344;2464;2520;2655;2660;2986	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
